id,image_files
1,"[{""path"": ""/images/vaccaj/vaccaj_1a_contralto_baritono.webp"", ""order"": 0}]"
2,"[{""path"": ""/images/vaccaj/vaccaj_1a_mezzo.webp"", ""order"": 0}]"
3,"[{""path"": ""/images/vaccaj/vaccaj_1a_soprano_tenor.webp"", ""order"": 0}]"
4,"[{""path"": ""/images/vaccaj/vaccaj_1b_contralto_baritono.webp"", ""order"": 0}]"
5,"[{""path"": ""/images/vaccaj/vaccaj_1b_mezzo.webp"", ""order"": 0}]"
6,"[{""path"": ""/images/vaccaj/vaccaj_1b_soprano_tenor.webp"", ""order"": 0}]"
7,"[{""path"": ""/images/vaccaj/vaccaj_2a_contralto_baritono.webp"", ""order"": 0}]"
8,"[{""path"": ""/images/vaccaj/vaccaj_2a_mezzo.webp"", ""order"": 0}]"
9,"[{""path"": ""/images/vaccaj/vaccaj_2a_soprano_tenor.webp"", ""order"": 0}]"
10,"[{""path"": ""/images/vaccaj/vaccaj_2b_contralto_baritono.webp"", ""order"": 0}]"
11,"[{""path"": ""/images/vaccaj/vaccaj_2b_mezzo.webp"", ""order"": 0}]"
12,"[{""path"": ""/images/vaccaj/vaccaj_2b_soprano_tenor.webp"", ""order"": 0}]"
13,"[{""path"": ""/images/vaccaj/vaccaj_3_contralto_baritono.webp"", ""order"": 0}]"
14,"[{""path"": ""/images/vaccaj/vaccaj_3_mezzo.webp"", ""order"": 0}]"
15,"[{""path"": ""/images/vaccaj/vaccaj_3_soprano_tenor.webp"", ""order"": 0}]"
16,"[{""path"": ""/images/vaccaj/vaccaj_4a_contralto_baritono.webp"", ""order"": 0}]"
17,"[{""path"": ""/images/vaccaj/vaccaj_4a_mezzo.webp"", ""order"": 0}]"
18,"[{""path"": ""/images/vaccaj/vaccaj_4a_soprano_tenor.webp"", ""order"": 0}]"
19,"[{""path"": ""/images/vaccaj/vaccaj_4b_contralto_baritono.webp"", ""order"": 0}]"
20,"[{""path"": ""/images/vaccaj/vaccaj_4b_mezzo.webp"", ""order"": 0}]"
21,"[{""path"": ""/images/vaccaj/vaccaj_4b_soprano_tenor.webp"", ""order"": 0}]"
